,Fermi.name,Spectral.Index,Radio.flux.mJy.,flux_density,curve_significance,flux_100_300_mev,flux_0p3_1_gev,flux_10_100_gev,variability_index,Optical.Class
91,3FGL J0148.6+0128,2.0208,88.3581,9.7412E-14,0.673,3.89488E-09,1.60159E-09,8.48319E-11,62.289867, bll 
92,3FGL J0151.6+2205,2.654,1041.6931,4.7233E-12,1.742,1.36475E-08,2.27187E-09,1.55134E-15,51.962097, fsrq 
93,3FGL J0152.6+0148,1.8866,61.9719,7.035E-14,1.018,4.1669E-09,1.01218E-09,1.07922E-10,51.758064, bll 
94,3FGL J0152.8+7517,1.7703,21.7395,1.1184E-14,2.688,2.64352E-12,2.28628E-10,5.36712E-11,49.365719, bll 
95,3FGL J0154.0+0824,1.8594,207.2201,3.6113E-13,3.182,4.50183E-09,3.12255E-09,1.77533E-10,64.832329, bll 
96,3FGL J0154.9+4433,2.1833,37.6911,1.903E-13,0.235,4.1535E-09,1.47377E-09,4.1741E-11,77.461914, bll 
97,3FGL J0157.0-5301,1.8228,43.4,7.3327E-14,3.208,2.02652E-10,5.04167E-10,4.67765E-11,62.607769, bll 
98,3FGL J0157.9-4615,2.4494,218.8,1.8661E-12,2.859,7.5387E-09,2.62339E-09,3.15882E-16,75.253891, fsrq 
99,3FGL J0158.6-3931,2.0226,132.3385,3.5559E-13,1.619,2.30671E-09,2.32689E-09,7.71162E-11,68.727211, bll 
100,3FGL J0159.4+1046,2.1134,47.6059,3.0006E-13,0.778,1.34787E-08,2.42586E-09,9.96195E-11,66.513184, bll 
101,3FGL J0159.8-2741,2.0363,102.8414,1.7028E-13,2.564,1.59146E-09,8.51305E-10,1.53961E-11,66.000076, bll 
102,3FGL J0202.3+0851,2.0476,134.9171,5.0702E-14,2.649,1.75072E-14,7.03375E-10,8.58426E-12,38.666336, fsrq 
103,3FGL J0202.5+4206,2.2755,167.1206,3.981E-13,0.045,1.00473E-08,1.65653E-09,1.84121E-11,61.516422, bll 
104,3FGL J0204.8+3212,2.9446,657.6067,2.044E-11,1.598,2.86727E-08,3.55617E-09,5.60038E-12,72.464058, fsrq 
105,3FGL J0205.2-1700,2.7595,1219.9694,3.0506E-11,2.383,3.99393E-08,6.76222E-09,4.38432E-15,336.593079, fsrq 
106,3FGL J0206.4-1150,2.3311,168.6248,1.8362E-12,1.074,1.2189E-08,2.94274E-09,1.5736E-11,262.441467, fsrq 
107,3FGL J0208.0-6838,2.4205,489.2,4.9019E-13,0.628,6.80204E-09,1.71306E-09,1.32271E-11,36.913143, bll 
108,3FGL J0208.6+3522,1.6951,4.945,7.4815E-15,0.915,4.31441E-09,2.62161E-14,3.28056E-11,38.083538, bll 
109,3FGL J0209.4-5229,1.7995,78.7,2.1277E-13,0.907,2.71875E-09,3.07609E-09,2.09924E-10,88.111412, bll 
110,3FGL J0209.5+4449,1.973,30.6931,3.8106E-14,0.524,3.66823E-09,1.27097E-09,5.05597E-11,48.344036, bll 
111,3FGL J0211.2+1051,2.0111,318.867,1.5965E-11,4.595,3.99658E-08,1.60273E-08,2.01635E-10,545.495361, bll 
112,3FGL J0212.8-3504,2.1113,19.4234,1.7067E-13,0.456,2.13012E-09,1.37463E-09,3.7599E-11,56.136265, bll 
113,3FGL J0213.0+2245,2.0986,67.426,4.0632E-13,0.22,6.66082E-09,2.94175E-09,7.29007E-11,47.859184, bll 
114,3FGL J0217.0-6635,1.9802,103.6,1.4259E-13,0.667,4.87434E-09,1.48552E-09,5.07607E-11,62.190792, bll 
115,3FGL J0217.1-0833,2.3297,417.9813,3.108E-13,2.072,3.32036E-09,1.13045E-09,4.64656E-12,38.060169, fsrq 
116,3FGL J0217.2+0837,2.1001,315.5371,9.2183E-13,1.337,1.37676E-08,3.74013E-09,6.94311E-11,197.772339, bll 
117,3FGL J0217.5+7349,2.9074,2271.6914,6.13E-11,2.481,5.39794E-08,7.94545E-09,3.545E-15,113.44236, fsrq 
118,3FGL J0217.8+0143,2.1929,750.8877,7.788E-12,2.836,3.77611E-08,1.33285E-08,1.58308E-10,429.937378, fsrq 
119,3FGL J0221.1+3556,2.2818,1707.7754,6.7569E-12,0.412,7.10869E-08,1.71363E-08,2.29211E-10,408.001343, fsrq 
120,3FGL J0222.1-1616,2.601,590.2872,4.7662E-12,1.085,1.3795E-08,3.20786E-09,1.61872E-11,81.346329, fsrq 
121,3FGL J0222.6+4301,1.8798,2303.7026,2.2056E-11,2.811,8.46946E-08,3.95665E-08,1.65639E-09,885.043457, bll 
122,3FGL J0222.9-1117,1.8223,14.1792,1.8964E-14,1.019,1.01203E-12,5.17929E-10,4.31014E-11,42.991283, bll 
123,3FGL J0226.3+0941,2.1864,375.1428,4.0354E-13,2.312,2.80986E-09,2.69882E-09,1.53468E-11,95.922752, fsrq 
124,3FGL J0227.2+0201,2.0421,36.9531,1.9086E-13,1.291,6.89412E-09,1.46855E-09,2.94511E-11,43.149349, bll 
125,3FGL J0228.3-5545,2.4259,350.2,4.0555E-12,0.263,1.59813E-08,4.27647E-09,1.97622E-11,400.167389, fsrq 
126,3FGL J0229.3-3643,2.539,117.382,7.9487E-12,1.74,2.13649E-08,4.70913E-09,7.35373E-12,485.549286, fsrq 
127,3FGL J0230.6-5757,1.6849,254.4,3.2069E-15,1.681,1.57211E-10,4.70274E-10,2.56797E-11,36.029034, bll 
128,3FGL J0230.8+4032,2.5494,451.5873,6.9063E-12,1.285,2.92454E-08,5.63342E-09,3.84171E-11,214.805481, fsrq 
129,3FGL J0232.8+2016,2.0254,83.5056,3.6785E-14,1.749,2.33059E-09,1.75716E-09,4.21493E-11,49.16309, bll 
130,3FGL J0236.7-6136,2.3082,634.5,5.8994E-12,2.084,2.35884E-08,7.577E-09,5.17793E-11,1370.197144, fsrq 
131,3FGL J0237.5-3603,1.8584,27.1963,4.1524E-14,0.056,1.28846E-09,6.72176E-10,3.96851E-11,43.065712, bll 
132,3FGL J0237.9+2848,2.1621,2197.5317,2.0504E-10,8.448,1.51631E-07,4.63557E-08,1.30694E-10,3653.461426, fsrq 
133,3FGL J0238.3-3904,1.942,65.2114,4.1251E-14,1.433,3.27497E-13,6.49371E-10,1.73239E-11,47.087265, bll 
134,3FGL J0238.4-3117,1.8355,71.4879,1.1834E-13,1.263,2.95904E-09,1.60542E-09,1.14034E-10,47.481712, bll 
135,3FGL J0238.6+1636,2.0575,1941.9243,6.2935E-11,4.398,8.84691E-08,3.21164E-08,3.61553E-10,5716.49707, bll 
136,3FGL J0242.3+1059,2.5384,1664.8301,2.9506E-12,3.06,1.14196E-08,2.68188E-09,2.1851E-16,76.464745, fsrq 
137,3FGL J0243.5+7119,2.111,211.574,1.7879E-13,1.514,5.40961E-09,3.05513E-09,4.43112E-11,61.723049, bll 
138,3FGL J0244.8-5818,1.6987,92.6,1.3404E-14,1.337,4.7152E-09,7.05671E-10,7.84112E-11,55.338676, bll 
139,3FGL J0245.4+2410,2.5813,457.547,6.6102E-12,2.77,2.16897E-08,4.73648E-09,1.62868E-11,124.339188, fsrq 
140,3FGL J0245.9-4651,2.2706,1520,1.0498E-10,4.594,8.14879E-08,2.1961E-08,5.95294E-11,737.27301, fsrq 
141,3FGL J0250.6+1713,1.9838,63.6524,3.4974E-14,2.38,1.20823E-08,1.20049E-09,5.83669E-11,48.476791, fsrq 
142,3FGL J0251.5-5959,2.2899,281.5,2.355E-13,1.263,1.63262E-09,1.09555E-09,1.4359E-15,53.351841, fsrq 
143,3FGL J0252.3+3830,2.4962,663.2596,6.3546E-13,0.357,7.10005E-09,1.54431E-09,1.13576E-11,56.757145, fsrq 
144,3FGL J0252.8-2218,2.1528,443.5457,7.114E-11,4.669,6.88826E-08,2.1519E-08,1.25124E-10,1346.452637, fsrq 
145,3FGL J0253.0-0125,1.9489,34.5843,5.7438E-14,2.993,3.95808E-13,3.4006E-10,1.5557E-11,30.114466, bll 
146,3FGL J0253.1-5438,2.4476,946.3,1.0097E-12,0.804,6.00032E-09,1.6132E-09,3.02808E-12,108.317451, fsrq 
147,3FGL J0257.8-1216,2.478,217.9065,1.183E-12,1.644,5.13578E-09,1.85315E-09,5.52071E-12,125.949066, fsrq 
148,3FGL J0259.5+0746,2.2121,834.9246,5.9178E-13,1.489,1.19592E-08,3.28001E-09,1.5022E-11,140.499191, fsrq 
149,3FGL J0302.5-7915,2.506,127.7,1.4838E-12,0.108,8.25222E-09,2.12971E-09,8.3033E-12,91.009727, fsrq 
150,3FGL J0303.4-2407,1.9183,701.1499,3.5464E-12,0.78,2.67238E-08,1.21136E-08,5.44491E-10,676.851624, bll 
151,3FGL J0303.7-6211,2.4601,2456,2.7348E-12,2.098,1.94492E-08,4.38648E-09,1.30043E-11,113.300468, fsrq 
152,3FGL J0304.3-2836,1.6087,8.3278,4.0952E-15,2.737,1.60829E-09,6.73021E-12,2.29204E-11,34.837025, bll 
